chromosome_1	2163	2829	+	Sb01g000200	666	2163-2829
chromosome_1	11417	14814	-	Sb01g000210	1659	14715-14814;14533-14629;14229-14333;13849-14121;13490-13613;13306-13395;13107-13213;12901-12999;12104-12365;11861-11945;11417-11744
chromosome_1	24839	42442	-	Sb01g000220	4089	42236-42442;41912-42033;37565-37648;37022-37107;36643-36934;36478-36569;35447-36348;35176-35337;34961-35065;34672-34838;34133-34240;33704-34037;33297-33588;33106-33190;26755-26889;26186-26414;25902-26074;25208-25463;24839-25115
chromosome_1	60121	63495	+	Sb01g000230	1139	60121-60346;60585-60659;60933-60994;61462-61516;62275-62355;62778-62984;63056-63495
chromosome_1	63648	69514	-	Sb01g000240	3319	69037-69514;68725-68818;67614-68591;66702-66791;66387-66491;66193-66293;66044-66120;65804-65919;65202-65734;63648-64404
chromosome_1	79809	81660	+	Sb01g000250	1776	79809-81013;81088-81660
chromosome_1	82097	107334	+	Sb01g000255	678	82097-82472;82594-82709;82790-82872;107114-107166;107280-107334
chromosome_1	110178	112514	-	Sb01g000260	2336	110178-112514
chromosome_1	112973	116051	+	Sb01g000270	1509	112973-113298;113434-113488;113712-113862;114466-114629;114874-114963;115058-115165;115349-115604;115685-116051
chromosome_1	116302	136465	-	Sb01g000280	4087	136406-136465;135811-135991;135594-135715;135469-135509;134580-134633;134426-134488;133918-134071;132665-132877;120753-122258;117751-118666;117154-117512;116890-116944;116302-116677
